Date,Pop
01-01-2011,311078
01-02-2011,311234
01-03-2011,311400
01-04-2011,311575
01-05-2011,311757
01-06-2011,311956
01-07-2011,312168
01-08-2011,312388
01-09-2011,312612
01-10-2011,312817
01-11-2011,313004
01-12-2011,313186
01-01-2012,313355
01-02-2012,313518
01-03-2012,313686
01-04-2012,313856
01-05-2012,314036
01-06-2012,314231
01-07-2012,314438
01-08-2012,314661
01-09-2012,314881
01-10-2012,315090
01-11-2012,315284
01-12-2012,315457
01-01-2013,315605
01-02-2013,315746
01-03-2013,315900
01-04-2013,316066
01-05-2013,316247
01-06-2013,316439
01-07-2013,316649
01-08-2013,316877
01-09-2013,317103
01-10-2013,317319
01-11-2013,317519
01-12-2013,317707
01-01-2014,317883
01-02-2014,318049
01-03-2014,318222
01-04-2014,318403
01-05-2014,318596
01-06-2014,318797
01-07-2014,319017
01-08-2014,319253
01-09-2014,319488
01-10-2014,319713
01-11-2014,319914
01-12-2014,320101
01-01-2015,320271
01-02-2015,320427
01-03-2015,320596
01-04-2015,320778
01-05-2015,320968
01-06-2015,321171
01-07-2015,321390
01-08-2015,321620
01-09-2015,321851
01-10-2015,322070
01-11-2015,322270
01-12-2015,322464
01-01-2016,322635
01-02-2016,322789
01-03-2016,322955
01-04-2016,323134
01-05-2016,323322
01-06-2016,323522
01-07-2016,323737
01-08-2016,323961
01-09-2016,324186
01-10-2016,324400
01-11-2016,324595
01-12-2016,324783
01-01-2017,324951
01-02-2017,325104
01-03-2017,325270
01-04-2017,325449
01-05-2017,325637
01-06-2017,325836
01-07-2017,326051
01-08-2017,326275
01-09-2017,326500
01-10-2017,326714
01-11-2017,326909
01-12-2017,327097
