DATE,Emp
01-01-1948,62.6
01-02-1948,62.7
01-03-1948,62.6
01-04-1948,62.9
01-05-1948,62.5
01-06-1948,63.2
01-07-1948,63.7
01-08-1948,63
01-09-1948,63.4
01-10-1948,63.1
01-11-1948,63
01-12-1948,63.1
01-01-1949,62.7
01-02-1949,62.6
01-03-1949,62.5
01-04-1949,62.2
01-05-1949,62.2
01-06-1949,62
01-07-1949,61.9
01-08-1949,62
01-09-1949,61.9
01-10-1949,61.3
01-11-1949,62
01-12-1949,61.7
01-01-1950,61.6
01-02-1950,61.6
01-03-1950,61.7
01-04-1950,62.4
01-05-1950,62.6
01-06-1950,63.3
01-07-1950,63
01-08-1950,63.7
01-09-1950,63.4
01-10-1950,63.7
01-11-1950,63.7
01-12-1950,63.4
01-01-1951,64
01-02-1951,64
01-03-1951,64.4
01-04-1951,64.3
01-05-1951,64.5
01-06-1951,63.8
01-07-1951,64.8
01-08-1951,64.5
01-09-1951,64.3
01-10-1951,64.7
01-11-1951,64.6
01-12-1951,65
01-01-1952,65.1
01-02-1952,65.2
01-03-1952,65.2
01-04-1952,65
01-05-1952,65.1
01-06-1952,64.9
01-07-1952,64.7
01-08-1952,64.5
01-09-1952,65.3
01-10-1952,64.7
01-11-1952,65.2
01-12-1952,65.5
01-01-1953,65.7
01-02-1953,65.8
01-03-1953,66
01-04-1953,65.5
01-05-1953,64.9
01-06-1953,65.3
01-07-1953,65.4
01-08-1953,65.2
01-09-1953,65
01-10-1953,65.1
01-11-1953,65.3
01-12-1953,64.6
01-01-1954,64.2
01-02-1954,64.6
01-03-1954,64
01-04-1954,64
01-05-1954,63.7
01-06-1954,63.6
01-07-1954,63.4
01-08-1954,63.4
01-09-1954,63.7
01-10-1954,63.6
01-11-1954,64.1
01-12-1954,64
01-01-1955,64.5
01-02-1955,64.5
01-03-1955,64.4
01-04-1955,64.8
01-05-1955,65
01-06-1955,65.3
01-07-1955,65.7
01-08-1955,65.8
01-09-1955,65.7
01-10-1955,65.6
01-11-1955,65.6
01-12-1955,65.9
01-01-1956,66.2
01-02-1956,65.8
01-03-1956,65.7
01-04-1956,65.9
01-05-1956,65.9
01-06-1956,65.9
01-07-1956,65.7
01-08-1956,66
01-09-1956,66
01-10-1956,66
01-11-1956,65.9
01-12-1956,65.8
01-01-1957,65.6
01-02-1957,66.2
01-03-1957,66.4
01-04-1957,66.1
01-05-1957,66.1
01-06-1957,66
01-07-1957,66.3
01-08-1957,65.9
01-09-1957,65.9
01-10-1957,65.9
01-11-1957,65.6
01-12-1957,65.5
01-01-1958,65
01-02-1958,64.4
01-03-1958,64.3
01-04-1958,64.2
01-05-1958,64.3
01-06-1958,64.2
01-07-1958,64.4
01-08-1958,64.7
01-09-1958,64.8
01-10-1958,65
01-11-1958,65
01-12-1958,65.1
01-01-1959,65.3
01-02-1959,65.1
01-03-1959,65.7
01-04-1959,65.9
01-05-1959,65.9
01-06-1959,66.1
01-07-1959,66
01-08-1959,65.6
01-09-1959,65.4
01-10-1959,65.6
01-11-1959,65.2
01-12-1959,65.9
01-01-1960,65.8
01-02-1960,65.9
01-03-1960,65.3
01-04-1960,66.1
01-05-1960,66.2
01-06-1960,66.1
01-07-1960,66
01-08-1960,66
01-09-1960,66.2
01-10-1960,65.5
01-11-1960,65.7
01-12-1960,65.2
01-01-1961,65.2
01-02-1961,64.9
01-03-1961,65.3
01-04-1961,65.3
01-05-1961,65.2
01-06-1961,65.6
01-07-1961,65.2
01-08-1961,65.2
01-09-1961,65.2
01-10-1961,65.6
01-11-1961,65.4
01-12-1961,65.4
01-01-1962,65.7
01-02-1962,65.9
01-03-1962,65.8
01-04-1962,65.7
01-05-1962,66
01-06-1962,65.9
01-07-1962,65.9
01-08-1962,66.3
01-09-1962,66.3
01-10-1962,66.2
01-11-1962,66.1
01-12-1962,66
01-01-1963,66
01-02-1963,66
01-03-1963,66.3
01-04-1963,66.5
01-05-1963,66.5
01-06-1963,66.5
01-07-1963,66.5
01-08-1963,66.4
01-09-1963,66.5
01-10-1963,66.7
01-11-1963,66.7
01-12-1963,66.7
01-01-1964,66.6
01-02-1964,66.8
01-03-1964,66.8
01-04-1964,67.1
01-05-1964,67.4
01-06-1964,67.1
01-07-1964,67
01-08-1964,67.1
01-09-1964,66.9
01-10-1964,66.8
01-11-1964,66.9
01-12-1964,67.1
01-01-1965,67.3
01-02-1965,67.1
01-03-1965,67.3
01-04-1965,67.4
01-05-1965,67.6
01-06-1965,67.9
01-07-1965,67.9
01-08-1965,67.9
01-09-1965,67.7
01-10-1965,67.8
01-11-1965,67.9
01-12-1965,68
01-01-1966,68.1
01-02-1966,68.1
01-03-1966,68.1
01-04-1966,68.2
01-05-1966,68.4
01-06-1966,68.3
01-07-1966,68.3
01-08-1966,68.5
01-09-1966,68.8
